Policy Number,Start Date,Last Paid Date,Tenure (Years),Date of Purchase,Customer ID,Sum Assured MUR/Coverage Amount,Premium Amount,Payment Frequency,Loan Eligible,Loan Amount Allowed,Underwriting expenses,Sales Agent Code,Purchase Month,Purchase Quarter,Purchase Year,Policy Anniversary Date,Claim ID,Policy Type Code,Policy Code,Policy Status,State,RM ID,Zonal Manager ID
IGD-POL-635876,22-11-2015,23-Nov-25,20,22-Nov-15,CUST-485709,1769577.41,72623.25,Quarterly,No,0.0,5972.94,AGT-2109,November,Q4,2015,22-Nov-16,CLM-642184,TR-ENDD989,WBM-IGMU-9833,Active,Black River,RMW8C6P3,ZMW3T7P8
IGD-POL-310194,09-08-2015,13-Dec-24,20,09-Aug-15,CUST-247720,3691934.34,51415.29,Monthly,Yes,1051140.33,5022.82,AGT-2345,August,Q3,2015,09-Aug-16,CLM-916451,TR-ENDD989,SGT-IGMU-9812,Surrendered,Plaines Wilhems,RMC9F7L5,ZMN8K2L1
IGD-POL-579088,20-05-2015,28-Jun-25,5,20-May-15,CUST-482160,4450804.2,76428.5,Quarterly,No,0.0,12505.5,AGT-1465,May,Q2,2015,20-May-16,CLM-991005,TR-ENDD989,SGT-IGMU-9812,Active,Moka,RMC9F7L5,ZMN8K2L1
IGD-POL-252030,20-05-2015,04-Nov-25,5,20-May-15,CUST-716966,2686888.66,60608.19,Quarterly,No,0.0,5639.86,AGT-1900,May,Q2,2015,20-May-16,CLM-606018,TR-WHCD968,WLS-IGMU-9814,Active,Vacoas-Phoenix,RMC9F7L5,ZMN8K2L1
IGD-POL-806693,16-07-2015,08-Jan-25,10,16-Jul-15,CUST-794214,2327493.73,69893.98,Monthly,No,0.0,9790.13,AGT-4594,July,Q3,2015,16-Jul-16,CLM-348143,TR-UNCD988,UGM-IGMU-9834,Active,Plaines Wilhems,RMC9F7L5,ZMN8K2L1
IGD-POL-741144,02-04-2015,05-Jun-25,20,02-Apr-15,CUST-733727,4964257.19,1500.0,Annually,Yes,2963314.47,419.03,AGT-5467,April,Q2,2015,02-Apr-16,CLM-475148,TR-UNCD988,RSP-IGMU-9856,Active,Quatre Bornes,RMC9F7L5,ZMN8K2L1
IGD-POL-777998,19-04-2015,08-Jul-18,10,19-Apr-15,CUST-641306,3832929.05,6956.82,Annually,Yes,1731412.42,1134.47,AGT-1900,April,Q2,2015,19-Apr-16,CLM-135758,TR-ENDD989,SGT-IGMU-9812,Surrendered,Vacoas-Phoenix,RMC9F7L5,ZMN8K2L1
IGD-POL-529348,24-03-2015,13-Dec-25,25,24-Mar-15,CUST-493706,603910.47,47483.22,Annually,No,0.0,4697.39,AGT-7898,March,Q1,2015,24-Mar-16,CLM-925020,TR-ENDD989,SGT-IGMU-9812,Active,Vacoas-Phoenix,RMC9F7L5,ZMN8K2L1
IGD-POL-273978,22-02-2015,18-Jan-19,20,22-Feb-15,CUST-572102,3565112.38,42062.82,Annually,No,0.0,5925.8,AGT-5980,February,Q1,2015,22-Feb-16,CLM-297987,TR-ENDD989,SGT-IGMU-9812,Surrendered,Port Louis,RMC9F7L5,ZMN8K2L1
IGD-POL-406086,04-12-2015,17-Jan-25,15,04-Dec-15,CUST-898683,3828139.19,59466.53,Monthly,Yes,1577135.09,3639.41,AGT-2345,December,Q4,2015,04-Dec-16,CLM-122559,TR-ENDD989,SGT-IGMU-9812,Active,Plaines Wilhems,RMC9F7L5,ZMN8K2L1
IGD-POL-824485,08-04-2015,09-Jun-25,10,08-Apr-15,CUST-752035,396875.61,17352.35,Quarterly,No,0.0,2461.05,AGT-2941,April,Q2,2015,08-Apr-16,CLM-637700,TR-WHCD968,IPM-IGMU-9832,Active,Flacq,RMN7A3X1,ZMN8K2L1
IGD-POL-507158,09-12-2015,21-Jun-25,10,09-Dec-15,CUST-643814,2229062.75,35151.93,Monthly,Yes,609975.62,1902.34,AGT-2109,December,Q4,2015,09-Dec-16,CLM-286323,TR-ENDD989,WBM-IGMU-9833,Active,Black River,RMW8C6P3,ZMW3T7P8
IGD-POL-428263,10-02-2015,13-Jan-25,10,10-Feb-15,CUST-800599,3620473.88,5013.77,Quarterly,Yes,979123.04,511.42,AGT-5980,February,Q1,2015,10-Feb-16,CLM-157692,TR-UNCD988,RSP-IGMU-9856,Active,Port Louis,RMC9F7L5,ZMN8K2L1
IGD-POL-627824,22-01-2015,23-Feb-25,25,22-Jan-15,CUST-396451,658124.88,18705.64,Monthly,Yes,414514.71,2012.54,AGT-3150,January,Q1,2015,22-Jan-16,CLM-295301,TR-UNCD988,RSP-IGMU-9856,Active,Savanne,RMS4B9K2,ZMS5Q4R2
IGD-POL-587302,24-04-2015,26-Oct-25,25,24-Apr-15,CUST-626213,2566134.65,25492.97,Annually,No,0.0,4425.1,AGT-1498,April,Q2,2015,24-Apr-16,CLM-102561,TR-WHCD968,WLS-IGMU-9814,Active,Rivière du Rempart,RMN7A3X1,ZMN8K2L1
IGD-POL-562467,18-10-2015,05-May-19,25,18-Oct-15,CUST-884616,1540143.56,71346.97,Annually,Yes,880095.35,8064.12,AGT-4509,October,Q4,2015,18-Oct-16,CLM-560807,TR-ENDD989,SGT-IGMU-9812,Surrendered,Quatre Bornes,RMC9F7L5,ZMN8K2L1
IGD-POL-226619,05-06-2015,08-Oct-25,15,05-Jun-15,CUST-387563,4384022.41,73509.78,Monthly,Yes,1102431.77,8894.72,AGT-1909,June,Q2,2015,05-Jun-16,CLM-491536,TR-ENDD989,ILG-IGMU-9829,Active,Grand Port,RMS4B9K2,ZMS5Q4R2
IGD-POL-890819,23-02-2015,05-Nov-17,10,23-Feb-15,CUST-390819,2213251.52,10559.25,Annually,No,0.0,1420.88,AGT-5945,February,Q1,2015,23-Feb-16,CLM-969704,TR-ENDD989,ILG-IGMU-9829,Surrendered,Flacq,RMN7A3X1,ZMN8K2L1
IGD-POL-243486,16-07-2015,15-Aug-25,15,16-Jul-15,CUST-986101,2811451.86,22590.65,Annually,Yes,1210409.83,2531.16,AGT-1900,July,Q3,2015,16-Jul-16,CLM-860743,TR-WHCD968,WLS-IGMU-9814,Surrendered,Vacoas-Phoenix,RMC9F7L5,ZMN8K2L1
IGD-POL-418695,12-06-2015,18-Jan-25,20,12-Jun-15,CUST-689320,1528038.47,20404.55,Quarterly,Yes,671729.28,3323.0,AGT-4509,June,Q2,2015,12-Jun-16,CLM-670215,TR-UNCD988,UGM-IGMU-9834,Active,Quatre Bornes,RMC9F7L5,ZMN8K2L1
IGD-POL-824114,05-04-2015,19-Jul-25,10,05-Apr-15,CUST-231988,1993031.84,11066.24,Monthly,No,0.0,1608.17,AGT-4509,April,Q2,2015,05-Apr-16,CLM-494585,TR-ENDD989,WBM-IGMU-9833,Active,Quatre Bornes,RMC9F7L5,ZMN8K2L1
IGD-POL-746486,07-07-2015,05-Oct-25,15,07-Jul-15,CUST-286253,2207189.68,1500.0,Annually,Yes,583136.18,300.0,AGT-4980,July,Q3,2015,07-Jul-16,CLM-306398,TR-WHCD968,IPM-IGMU-9832,Active,Curepipe,RMC9F7L5,ZMN8K2L1
IGD-POL-665889,22-02-2015,24-Apr-23,25,22-Feb-15,CUST-501779,1201547.59,60801.43,Annually,Yes,458445.45,5438.14,AGT-1498,February,Q1,2015,22-Feb-16,CLM-215668,TR-ENDD989,WBM-IGMU-9833,Surrendered,Rivière du Rempart,RMN7A3X1,ZMN8K2L1
IGD-POL-967238,04-04-2015,27-Mar-25,20,04-Apr-15,CUST-328598,2707007.57,71506.61,Monthly,No,0.0,10637.73,AGT-5467,April,Q2,2015,04-Apr-16,CLM-345334,TR-UNCD988,UGM-IGMU-9834,Active,Quatre Bornes,RMC9F7L5,ZMN8K2L1
IGD-POL-353545,03-04-2015,18-Nov-25,25,03-Apr-15,CUST-553350,2798038.16,42588.75,Annually,Yes,1777570.59,3476.41,AGT-3488,April,Q2,2015,03-Apr-16,CLM-931452,TR-ENDD989,WBM-IGMU-9833,Active,Moka,RMC9F7L5,ZMN8K2L1
IGD-POL-456209,16-10-2015,23-Jun-25,5,16-Oct-15,CUST-201991,3840126.56,30581.04,Quarterly,No,0.0,2509.16,AGT-4456,October,Q4,2015,16-Oct-16,CLM-818055,TR-ENDD989,ILG-IGMU-9829,Active,Curepipe,RMC9F7L5,ZMN8K2L1
IGD-POL-857353,16-06-2015,28-Jan-18,20,16-Jun-15,CUST-950693,4790757.53,51067.34,Quarterly,Yes,2239432.4,6944.16,AGT-3488,June,Q2,2015,16-Jun-16,CLM-997774,TR-ENDD989,ILG-IGMU-9829,Surrendered,Moka,RMC9F7L5,ZMN8K2L1
IGD-POL-553129,23-06-2015,04-Jan-18,10,23-Jun-15,CUST-717276,2600465.37,42275.47,Annually,Yes,1580689.25,4483.57,AGT-6578,June,Q2,2015,23-Jun-16,CLM-386675,TR-UNCD988,UGM-IGMU-9834,Surrendered,Port Louis,RMC9F7L5,ZMN8K2L1
IGD-POL-172721,01-11-2015,16-Dec-25,25,01-Nov-15,CUST-842557,4061216.01,64947.36,Quarterly,Yes,1320356.57,5271.01,AGT-5945,November,Q4,2015,01-Nov-16,CLM-488223,TR-WHCD968,FPP-IGMU-9813,Active,Flacq,RMN7A3X1,ZMN8K2L1
IGD-POL-371078,27-01-2015,16-Jul-25,25,27-Jan-15,CUST-544484,1357727.87,1500.0,Quarterly,Yes,653870.99,300.0,AGT-4980,January,Q1,2015,27-Jan-16,CLM-392062,TR-UNCD988,RSP-IGMU-9856,Active,Curepipe,RMC9F7L5,ZMN8K2L1
IGD-POL-482219,15-06-2015,04-Feb-24,20,15-Jun-15,CUST-326645,1022225.59,69102.65,Quarterly,No,0.0,3537.38,AGT-5945,June,Q2,2015,15-Jun-16,CLM-448676,TR-UNCD988,RSP-IGMU-9856,Surrendered,Flacq,RMN7A3X1,ZMN8K2L1
IGD-POL-355669,16-01-2015,07-Oct-25,15,16-Jan-15,CUST-760251,2852611.19,9093.22,Quarterly,No,0.0,1319.24,AGT-3465,January,Q1,2015,16-Jan-16,CLM-151000,TR-UNCD988,RSP-IGMU-9856,Active,Grand Port,RMS4B9K2,ZMS5Q4R2
IGD-POL-325031,21-10-2015,18-Apr-25,10,21-Oct-15,CUST-678809,1550499.59,46669.55,Monthly,Yes,468657.27,8514.87,AGT-6578,October,Q4,2015,21-Oct-16,CLM-338267,TR-WHCD968,IPM-IGMU-9832,Active,Port Louis,RMC9F7L5,ZMN8K2L1
IGD-POL-515791,03-09-2015,26-Sep-25,5,03-Sep-15,CUST-127553,2965590.12,21098.16,Monthly,No,0.0,1530.64,AGT-4509,September,Q3,2015,03-Sep-16,CLM-311096,TR-WHCD968,WLS-IGMU-9814,Active,Quatre Bornes,RMC9F7L5,ZMN8K2L1
IGD-POL-449385,23-12-2015,10-Sep-25,5,23-Dec-15,CUST-987734,645933.06,16194.74,Annually,No,0.0,1766.6,AGT-4980,December,Q4,2015,23-Dec-16,CLM-909907,TR-WHCD968,IPM-IGMU-9832,Active,Curepipe,RMC9F7L5,ZMN8K2L1
IGD-POL-363886,07-10-2015,08-Aug-25,5,07-Oct-15,CUST-245936,681186.21,65427.39,Annually,No,0.0,5951.32,AGT-4509,October,Q4,2015,07-Oct-16,CLM-743112,TR-ENDD989,WBM-IGMU-9833,Active,Quatre Bornes,RMC9F7L5,ZMN8K2L1
IGD-POL-298185,09-05-2015,24-Dec-25,5,09-May-15,CUST-819785,3011331.6,70425.8,Annually,Yes,1816233.0,10098.59,AGT-7898,May,Q2,2015,09-May-16,CLM-982158,TR-WHCD968,WLS-IGMU-9814,Active,Vacoas-Phoenix,RMC9F7L5,ZMN8K2L1
IGD-POL-320242,07-08-2015,02-Sep-25,10,07-Aug-15,CUST-311683,2100501.85,77667.85,Quarterly,No,0.0,5511.66,AGT-6578,August,Q3,2015,07-Aug-16,CLM-567408,TR-UNCD988,RSP-IGMU-9856,Active,Port Louis,RMC9F7L5,ZMN8K2L1
IGD-POL-628249,18-09-2015,11-Oct-25,5,18-Sep-15,CUST-554137,649487.17,22913.02,Monthly,Yes,190968.32,2443.7,AGT-1498,September,Q3,2015,18-Sep-16,CLM-171112,TR-ENDD989,ILG-IGMU-9829,Active,Rivière du Rempart,RMN7A3X1,ZMN8K2L1
IGD-POL-351305,02-08-2015,10-Jan-23,15,02-Aug-15,CUST-242847,4654727.51,39780.4,Quarterly,No,0.0,5061.58,AGT-4456,August,Q3,2015,02-Aug-16,CLM-510495,TR-ENDD989,SGT-IGMU-9812,Surrendered,Curepipe,RMC9F7L5,ZMN8K2L1
IGD-POL-750677,14-08-2015,15-Nov-25,10,14-Aug-15,CUST-444240,2336494.12,52185.89,Monthly,No,0.0,8627.65,AGT-2109,August,Q3,2015,14-Aug-16,CLM-405684,TR-ENDD989,ILG-IGMU-9829,Active,Black River,RMW8C6P3,ZMW3T7P8
IGD-POL-980862,14-08-2015,04-Oct-16,5,14-Aug-15,CUST-111908,3956700.27,52155.94,Monthly,No,0.0,5504.51,AGT-2345,August,Q3,2015,14-Aug-16,CLM-109259,TR-WHCD968,IPM-IGMU-9832,Surrendered,Plaines Wilhems,RMC9F7L5,ZMN8K2L1
IGD-POL-121449,06-12-2015,06-Jul-19,20,06-Dec-15,CUST-721748,3976879.14,23845.6,Monthly,Yes,1455176.97,2136.13,AGT-6578,December,Q4,2015,06-Dec-16,CLM-628662,TR-WHCD968,FPP-IGMU-9813,Surrendered,Port Louis,RMC9F7L5,ZMN8K2L1
IGD-POL-177728,17-12-2015,24-Nov-25,25,17-Dec-15,CUST-942875,496530.72,29332.72,Monthly,No,0.0,4705.12,AGT-3894,December,Q4,2015,17-Dec-16,CLM-222556,TR-UNCD988,UGM-IGMU-9834,Active,Port Louis,RMC9F7L5,ZMN8K2L1
IGD-POL-890228,06-08-2015,18-Jul-25,15,06-Aug-15,CUST-705604,1641247.03,39257.22,Quarterly,Yes,873504.6,5376.52,AGT-1800,August,Q3,2015,06-Aug-16,CLM-709931,TR-ENDD989,SGT-IGMU-9812,Active,Beau Bassin-Rose Hill,RMC9F7L5,ZMN8K2L1
IGD-POL-466260,12-01-2015,19-May-25,10,12-Jan-15,CUST-145637,758898.81,66329.45,Annually,No,0.0,10315.71,AGT-4594,January,Q1,2015,12-Jan-16,CLM-309329,TR-ENDD989,SGT-IGMU-9812,Active,Plaines Wilhems,RMC9F7L5,ZMN8K2L1
IGD-POL-594002,09-04-2015,28-Feb-25,15,09-Apr-15,CUST-622595,1147349.18,54968.56,Annually,No,0.0,8626.11,AGT-1498,April,Q2,2015,09-Apr-16,CLM-860382,TR-UNCD988,UGM-IGMU-9834,Active,Rivière du Rempart,RMN7A3X1,ZMN8K2L1
IGD-POL-979862,08-12-2015,24-Jun-25,25,08-Dec-15,CUST-928635,3230823.0,52448.55,Quarterly,No,0.0,5863.75,AGT-3894,December,Q4,2015,08-Dec-16,CLM-438008,TR-WHCD968,FPP-IGMU-9813,Active,Port Louis,RMC9F7L5,ZMN8K2L1
IGD-POL-432749,08-08-2015,05-Dec-18,20,08-Aug-15,CUST-403942,4472666.51,13555.5,Monthly,No,0.0,2036.89,AGT-5945,August,Q3,2015,08-Aug-16,CLM-295046,TR-WHCD968,IPM-IGMU-9832,Surrendered,Flacq,RMN7A3X1,ZMN8K2L1
IGD-POL-689364,27-09-2015,26-Feb-25,10,27-Sep-15,CUST-347743,2532478.55,7250.91,Quarterly,Yes,1284907.86,860.94,AGT-4509,September,Q3,2015,27-Sep-16,CLM-166344,TR-UNCD988,RSP-IGMU-9856,Active,Quatre Bornes,RMC9F7L5,ZMN8K2L1
IGD-POL-774561,10-06-2015,23-Feb-25,10,10-Jun-15,CUST-199361,4317221.27,74267.47,Monthly,No,0.0,10137.65,AGT-3465,June,Q2,2015,10-Jun-16,CLM-661186,TR-ENDD989,WBM-IGMU-9833,Active,Grand Port,RMS4B9K2,ZMS5Q4R2
IGD-POL-374552,11-01-2015,20-Aug-25,20,11-Jan-15,CUST-134283,3053518.84,13688.7,Annually,Yes,1348816.68,2333.64,AGT-7898,January,Q1,2015,11-Jan-16,CLM-411172,TR-ENDD989,ILG-IGMU-9829,Active,Vacoas-Phoenix,RMC9F7L5,ZMN8K2L1
IGD-POL-419815,02-06-2015,01-Apr-25,20,02-Jun-15,CUST-645986,817508.66,73700.34,Monthly,Yes,445571.96,3963.62,AGT-4980,June,Q2,2015,02-Jun-16,CLM-555969,TR-WHCD968,WLS-IGMU-9814,Active,Curepipe,RMC9F7L5,ZMN8K2L1
IGD-POL-417982,10-11-2015,15-May-25,10,10-Nov-15,CUST-922366,4836497.5,6483.95,Monthly,No,0.0,377.31,AGT-3150,November,Q4,2015,10-Nov-16,CLM-242539,TR-UNCD988,RSP-IGMU-9856,Active,Savanne,RMS4B9K2,ZMS5Q4R2
IGD-POL-178974,05-08-2015,20-Sep-25,15,05-Aug-15,CUST-801752,1569829.04,60837.18,Monthly,No,0.0,9546.48,AGT-3567,August,Q3,2015,05-Aug-16,CLM-310940,TR-WHCD968,IPM-IGMU-9832,Active,Rivière du Rempart,RMN7A3X1,ZMN8K2L1
IGD-POL-168051,13-03-2015,13-Nov-25,25,13-Mar-15,CUST-514369,2042504.39,11921.89,Quarterly,Yes,1223053.15,795.01,AGT-1465,March,Q1,2015,13-Mar-16,CLM-697152,TR-WHCD968,IPM-IGMU-9832,Active,Moka,RMC9F7L5,ZMN8K2L1
IGD-POL-458133,12-11-2015,16-Dec-25,20,12-Nov-15,CUST-223548,4707074.72,64344.14,Quarterly,No,0.0,4480.72,AGT-7898,November,Q4,2015,12-Nov-16,CLM-644875,TR-WHCD968,IPM-IGMU-9832,Active,Vacoas-Phoenix,RMC9F7L5,ZMN8K2L1
IGD-POL-362932,19-03-2015,09-Aug-25,15,19-Mar-15,CUST-953618,773638.84,45885.36,Quarterly,Yes,205595.97,2529.21,AGT-2345,March,Q1,2015,19-Mar-16,CLM-683334,TR-UNCD988,UGM-IGMU-9834,Active,Plaines Wilhems,RMC9F7L5,ZMN8K2L1
IGD-POL-464677,03-11-2015,12-Feb-24,20,03-Nov-15,CUST-942875,2113651.27,38817.18,Monthly,Yes,1366985.21,3195.78,AGT-5945,November,Q4,2015,03-Nov-16,CLM-133953,TR-ENDD989,SGT-IGMU-9812,Surrendered,Flacq,RMN7A3X1,ZMN8K2L1
IGD-POL-119829,28-01-2015,23-Feb-25,25,28-Jan-15,CUST-814509,2969817.81,65247.96,Annually,Yes,1155869.19,8875.4,AGT-7898,January,Q1,2015,28-Jan-16,CLM-320515,TR-UNCD988,UGM-IGMU-9834,Active,Vacoas-Phoenix,RMC9F7L5,ZMN8K2L1
IGD-POL-685778,11-09-2015,06-Aug-25,5,11-Sep-15,CUST-641230,421133.27,69498.6,Quarterly,Yes,110078.94,5738.78,AGT-3894,September,Q3,2015,11-Sep-16,CLM-666582,TR-UNCD988,UGM-IGMU-9834,Active,Port Louis,RMC9F7L5,ZMN8K2L1
IGD-POL-714631,23-01-2015,26-Jan-25,15,23-Jan-15,CUST-620971,4009675.17,55192.5,Monthly,Yes,1225706.92,8887.75,AGT-1909,January,Q1,2015,23-Jan-16,CLM-907560,TR-ENDD989,WBM-IGMU-9833,Active,Grand Port,RMS4B9K2,ZMS5Q4R2
IGD-POL-410968,16-12-2015,12-Nov-18,20,16-Dec-15,CUST-659873,973902.61,21991.06,Annually,No,0.0,1031.12,AGT-3465,December,Q4,2015,16-Dec-16,CLM-308777,TR-WHCD968,WLS-IGMU-9814,Surrendered,Grand Port,RMS4B9K2,ZMS5Q4R2
IGD-POL-927725,12-10-2015,08-Jun-21,15,12-Oct-15,CUST-777700,4213837.84,33735.84,Annually,Yes,1646142.28,3192.49,AGT-2109,October,Q4,2015,12-Oct-16,CLM-775965,TR-ENDD989,ILG-IGMU-9829,Surrendered,Black River,RMW8C6P3,ZMW3T7P8
IGD-POL-594351,08-05-2015,05-Oct-25,10,08-May-15,CUST-136039,3441178.23,1500.0,Monthly,No,0.0,425.16,AGT-1498,May,Q2,2015,08-May-16,CLM-771077,TR-WHCD968,FPP-IGMU-9813,Active,Rivière du Rempart,RMN7A3X1,ZMN8K2L1
IGD-POL-880820,08-11-2015,23-Nov-25,10,08-Nov-15,CUST-749813,692163.78,35506.4,Monthly,No,0.0,4293.79,AGT-4594,November,Q4,2015,08-Nov-16,CLM-574816,TR-ENDD989,WBM-IGMU-9833,Active,Plaines Wilhems,RMC9F7L5,ZMN8K2L1
IGD-POL-765879,14-01-2015,10-Sep-25,5,14-Jan-15,CUST-560302,687787.02,1500.0,Annually,No,0.0,359.06,AGT-4456,January,Q1,2015,14-Jan-16,CLM-469218,TR-WHCD968,IPM-IGMU-9832,Active,Curepipe,RMC9F7L5,ZMN8K2L1
IGD-POL-584422,08-03-2015,21-Nov-25,25,08-Mar-15,CUST-370561,2617786.57,17028.07,Monthly,Yes,780952.88,1685.48,AGT-3567,March,Q1,2015,08-Mar-16,CLM-453625,TR-WHCD968,IPM-IGMU-9832,Active,Rivière du Rempart,RMN7A3X1,ZMN8K2L1
IGD-POL-277499,09-12-2015,15-Feb-25,10,09-Dec-15,CUST-446305,5074297.02,24282.09,Quarterly,No,0.0,3974.16,AGT-3567,December,Q4,2015,09-Dec-16,CLM-639823,TR-ENDD989,WBM-IGMU-9833,Active,Rivière du Rempart,RMN7A3X1,ZMN8K2L1
